,Libellé de commune,Code géographique,Libellé géographique,EPCI - Métropole,Libellé de l'EPCI / Métropole,Département,Région,75 ans et plus 1968,75 ans et plus 1975,75 ans et plus 1982,75 ans et plus 1990,75 ans et plus 1999,75 ans et plus 2009,75 ans et plus 2014,75 ans et plus 2020
0,L'Abergement-Clémenciat,01001,L'Abergement-Clémenciat,200069193,Communauté de communes de la Dombes,1,84,4.0,5.0,16.0,24.0,28.0,32.0,65.0,61.0
1,L'Abergement-de-Varey,01002,L'Abergement-de-Varey,240100883,Communauté de communes de la Plaine de l'Ain,1,84,8.0,25.0,0.0,24.0,24.0,33.0,25.0,16.0
2,Ambérieu-en-Bugey,01004,Ambérieu-en-Bugey,240100883,Communauté de communes de la Plaine de l'Ain,1,84,352.0,355.0,536.0,716.0,808.0,1072.0,1159.0,1300.0
3,Ambérieux-en-Dombes,01005,Ambérieux-en-Dombes,200042497,Communauté de communes Dombes Saône Vallée,1,84,28.0,20.0,64.0,116.0,68.0,108.0,100.0,150.0
4,Ambléon,01006,Ambléon,200040350,Communauté de communes Bugey Sud,1,84,4.0,20.0,4.0,0.0,8.0,12.0,15.0,10.0
5,Ambronay,01007,Ambronay,240100883,Communauté de communes de la Plaine de l'Ain,1,84,44.0,45.0,56.0,76.0,124.0,152.0,180.0,195.0
6,Ambutrix,01008,Ambutrix,240100883,Communauté de communes de la Plaine de l'Ain,1,84,24.0,5.0,8.0,12.0,28.0,24.0,24.0,36.0
7,Andert-et-Condon,01009,Andert-et-Condon,200040350,Communauté de communes Bugey Sud,1,84,16.0,10.0,16.0,20.0,16.0,4.0,24.0,41.0
8,Anglefort,01010,Anglefort,200070852,Communauté de communes Usses et Rhône,1,84,20.0,25.0,52.0,40.0,72.0,71.0,52.0,83.0
9,Apremont,01011,Apremont,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,4.0,0.0,16.0,8.0,8.0,4.0,20.0,25.0
10,Aranc,01012,Aranc,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,28.0,30.0,12.0,40.0,32.0,58.0,54.0,40.0
11,Arandas,01013,Arandas,240100883,Communauté de communes de la Plaine de l'Ain,1,84,8.0,15.0,16.0,20.0,4.0,29.0,12.0,5.0
12,Arbent,01014,Arbent,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,24.0,30.0,72.0,92.0,136.0,183.0,245.0,270.0
13,Arboys en Bugey,01015,Arboys en Bugey,200040350,Communauté de communes Bugey Sud,1,84,20.0,40.0,32.0,24.0,16.0,32.0,60.0,73.0
14,Arbigny,01016,Arbigny,200071371,Communauté de communes Bresse et Saône,1,84,16.0,20.0,28.0,36.0,48.0,36.0,40.0,35.0
15,Argis,01017,Argis,240100883,Communauté de communes de la Plaine de l'Ain,1,84,40.0,70.0,40.0,28.0,36.0,36.0,25.0,49.0
16,Armix,01019,Armix,200040350,Communauté de communes Bugey Sud,1,84,8.0,10.0,4.0,12.0,0.0,0.0,0.0,0.0
17,Ars-sur-Formans,01021,Ars-sur-Formans,200042497,Communauté de communes Dombes Saône Vallée,1,84,8.0,25.0,40.0,52.0,40.0,53.0,76.0,64.0
18,Artemare,01022,Artemare,200040350,Communauté de communes Bugey Sud,1,84,52.0,45.0,48.0,92.0,72.0,141.0,118.0,152.0
19,Asnières-sur-Saône,01023,Asnières-sur-Saône,200071371,Communauté de communes Bresse et Saône,1,84,8.0,0.0,4.0,20.0,12.0,12.0,5.0,0.0
20,Attignat,01024,Attignat,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,36.0,65.0,92.0,120.0,88.0,142.0,165.0,234.0
21,Bâgé-Dommartin,01025,Bâgé-Dommartin,200071371,Communauté de communes Bresse et Saône,1,84,60.0,30.0,120.0,104.0,88.0,116.0,110.0,213.0
22,Bâgé-le-Châtel,01026,Bâgé-le-Châtel,200071371,Communauté de communes Bresse et Saône,1,84,56.0,75.0,96.0,84.0,92.0,132.0,144.0,140.0
23,Balan,01027,Balan,240100610,Communauté de communes de la Côtière à Montluel,1,84,24.0,5.0,24.0,36.0,44.0,36.0,56.0,41.0
24,Baneins,01028,Baneins,200069193,Communauté de communes de la Dombes,1,84,28.0,20.0,24.0,20.0,8.0,16.0,40.0,25.0
25,Beaupont,01029,Beaupont,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,1,84,20.0,45.0,36.0,44.0,40.0,31.0,24.0,35.0
26,Beauregard,01030,Beauregard,200042497,Communauté de communes Dombes Saône Vallée,1,84,4.0,15.0,20.0,32.0,20.0,60.0,50.0,40.0
27,Bellignat,01031,Bellignat,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,32.0,65.0,56.0,72.0,88.0,154.0,230.0,225.0
28,Béligneux,01032,Béligneux,240100610,Communauté de communes de la Côtière à Montluel,1,84,16.0,40.0,52.0,72.0,60.0,111.0,188.0,186.0
29,Valserhône,01033,Valserhône,240100891,Communauté de communes du Pays Bellegardien (CCPB),1,84,260.0,460.0,648.0,632.0,864.0,1099.0,1098.0,1155.0
30,Belley,01034,Belley,200040350,Communauté de communes Bugey Sud,1,84,368.0,415.0,524.0,704.0,808.0,1046.0,1118.0,1238.0
31,Belleydoux,01035,Belleydoux,200042935,Communauté d'agglomération Haut - Bugey Agglomération,1,84,16.0,25.0,24.0,24.0,16.0,32.0,20.0,45.0
32,Valromey-sur-Séran,01036,Valromey-sur-Séran,200040350,Communauté de communes Bugey Sud,1,84,40.0,25.0,40.0,56.0,28.0,42.0,28.0,185.0
